company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Tonikworld,tonikworld.com,TIER_B_ACTIVE,53.5,EDP7_Sales_Enablement,20250909_141635
Palmer Hamilton,palmerhamilton.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_141635
HANAMINT,hanamint.com,TIER_B_ACTIVE,51.25,EDP8_Technology_Obsolescence,20250909_141635
Paragon Inc.,paragoninc.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_141635
Tidelli,tidelli.com,TIER_B_ACTIVE,56.7,EDP8_Technology_Obsolescence,20250909_141635
Northland Furniture Company,northlandfurniture.com,TIER_B_ACTIVE,61.45,EDP7_Sales_Enablement,20250909_141635
Kartell,kartell.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_141635
Green Furniture Concept,greenfc.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_141635
Fermob,fermob.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_141635
Brown Jordan,brownjordan.com,TIER_B_ACTIVE,42.0,EDP8_Technology_Obsolescence,20250909_141635
Fermob,fermob.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_141635
West Coast Industries,westcoastindustries.com,TIER_B_ACTIVE,42.2,EDP8_Technology_Obsolescence,20250909_141635
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_141635
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_141635
Hushoffice,hushoffice.com,TIER_B_ACTIVE,64.75,EDP7_Sales_Enablement,20250909_141635
Karl Andersson & SÃÂ¶ner,karl-andersson.se,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_141635
Kwalu,kwalu.com,TIER_B_ACTIVE,56.5,EDP8_Technology_Obsolescence,20250909_141635
Kartell,kartell.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_141635
Invincible Furniture,invinciblefurniture.com,TIER_B_ACTIVE,56.3,EDP7_Sales_Enablement,20250909_141635
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_141635
Fomcore,fomcore.com,TIER_B_ACTIVE,49.25,EDP8_Technology_Obsolescence,20250909_141635
Leotek Electronics,leotek.com,TIER_B_ACTIVE,42.75,EDP8_Technology_Obsolescence,20250909_112945
Litetronics,litetronics.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_112945
DMF Lighting,dmflighting.com,TIER_B_ACTIVE,43.95,EDP8_Technology_Obsolescence,20250909_112945
Keystone Lighting,keystonetech.com,TIER_A_IMMEDIATE,71.0,EDP8_Technology_Obsolescence,20250909_112945
Keystone Lighting,keystonetech.com,TIER_A_IMMEDIATE,71.0,EDP8_Technology_Obsolescence,20250909_112945
eLuminaire,eluminaire.com,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250909_112945
Bega,bega.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250909_112945
Acolyte Industries,acolyteled.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_112945
Lutron,lutron.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_112945
HEWilliams,hew.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_112945
Elcast,elcastltg.com,TIER_B_ACTIVE,40.35,EDP8_Technology_Obsolescence,20250909_112945
Finelite,finelite.com,TIER_B_ACTIVE,64.75,EDP7_Sales_Enablement,20250909_112945
Leotek Electronics,leotek.com,TIER_B_ACTIVE,42.75,EDP8_Technology_Obsolescence,20250909_112945
Studio Due,studiodue.com,TIER_B_ACTIVE,45.85,EDP8_Technology_Obsolescence,20250909_112945
Lantana,lantanaled.com,TIER_B_ACTIVE,41.1,EDP8_Technology_Obsolescence,20250909_112945
Lutron,lutron.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_112945
Studio Due,studiodue.com,TIER_B_ACTIVE,45.85,EDP8_Technology_Obsolescence,20250909_112945
Lutron,lutron.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_112945
Solais Lighting,solais.com,TIER_B_ACTIVE,49.0,EDP8_Technology_Obsolescence,20250909_112945
SPI Lighting,spilighting.com,TIER_A_IMMEDIATE,71.7,EDP8_Technology_Obsolescence,20250909_112945
Red Sky Lighting,redskylighting.com,TIER_B_ACTIVE,64.0,EDP7_Sales_Enablement,20250909_112945
GMR Enlights,gmrenlights.com,TIER_B_ACTIVE,54.5,EDP8_Technology_Obsolescence,20250909_112945
Lutron,lutron.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_112945
